inscricao,contribuinte,end,categoria,lat_gMaps,lng_gMaps,bairro_gMaps,bairro_name,bairro_GID
427957-3,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R MIN ANTONIO COELHO 305  VILA VELHA FORTALEZA - CE CEP:60347230,Evangélicas,-37.148.376,-385.911.467,Vila Velha,Vila Velha,39
42707-1,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,AV  DA UNIVERSIDADE 2083  BENFICA FORTALEZA - CE CEP:60020180,Evangélicas,-37.362.348,-385.346.708,Benfica,Benfica,7
82868-8,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R CAP NESTOR GOIS 60  VILA ELLERY FORTALEZA - CE CEP:60320380,Evangélicas,-37.202.764,-3.856.226.789.999.990,Bairro Ellery,Ellery,38
255082-2,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R  JAPI 391  SERRINHA FORTALEZA - CE CEP:60741420,Evangélicas,-37.842.541,-385.467.357,Serrinha,Serrinha,107
42708-0,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,AV  DA UNIVERSIDADE 2083  BENFICA FORTALEZA - CE CEP:60020180,Evangélicas,-37.362.348,-385.346.708,Benfica,Benfica,7
613729-6,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R PRO VICENTE SILVEIRA 657  VILA UNIÃO FORTALEZA - CE CEP:60410672,Evangélicas,-3.766.971,-38.538.649,Vila União,Vila União,109
311789-8,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R  GUANABARA 621  PAN AMERICANO FORTALEZA - CE CEP:60440135,Evangélicas,-37.565.248,-385.686.279,Demócrito Rocha,Panamericano,104
209032-5,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,AV SEN FERNANDES TAVORA 471  JÓQUEI CLUBE FORTALEZA - CE CEP:60510111,Evangélicas,-37.650.093,-385.773.876,Henrique Jorge,Jóquei Clube,101
27162-4,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R PRO VICENTE SILVEIRA 661  VILA UNIÃO FORTALEZA - CE CEP:60410672,Evangélicas,-3.767.169.999.999.990,-385.387.285,Vila União,Vila União,109
347059-8,UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,R  VII (CIDADE OESTE) 178  QUINTINO CUNHA FORTALEZA - CE CEP:60351770,Evangélicas,-3.728.697.899.999.990,-386.023.923,Quintino Cunha,Quintino Cunha,48
70719-8,UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,R  JAIME BENEVOLO 259  CENTRO FORTALEZA - CE CEP:60050080,Católica Apostólica Romana,-37.347.274,-385.261.742,Centro,Centro,10
70822-4,UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,AV DUQ DE CAXIAS 101  CENTRO FORTALEZA - CE CEP:60035111,Católica Apostólica Romana,-37.336.487,-385.253.888,Centro,Centro,10
67961-5,1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,R PRC ISABEL 290  CENTRO FORTALEZA - CE CEP:60015060,Evangélicas,-37.236.044,-385.345.184,Centro,Centro,10
110662-7,1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,R  WALTER POMPEU 760  CRISTO REDENTOR FORTALEZA - CE CEP:60337120,Evangélicas,-37.113.928,-3.856.918.539.999.990,Álvaro Weyne,Cristo Redentor,12
180284-4,1 IGREJA PRESBITERIANA INDEPENDENTE DE FORTALEZA,R CAP OLAVO 324  ALTO DA BALANÇA FORTALEZA - CE CEP:60851245,Evangélicas,-37.650.304,-385.161.745,Alto da Balança,Alto da Balança,93
